U+00FA	ú	c3 ba	LATIN SMALL LETTER U WITH ACUTE ACCENT
U+00FB	û	c3 bb	LATIN SMALL LETTER U WITH CIRCUMFLEX ACCENT
U+00FC	ü	c3 bc	LATIN SMALL LETTER U WITH DIAERESIS
U+00FD	ý	c3 bd	LATIN SMALL LETTER Y WITH ACUTE ACCENT
U+00FF	ÿ	c3 bf	LATIN SMALL LETTER Y WITH DIAERESIS
U+0100	Ā	c4 80	LATIN CAPITAL LETTER A WITH MACRON
U+0101	ā	c4 81	LATIN SMALL LETTER A WITH MACRON
U+0102	Ă	c4 82	LATIN CAPITAL LETTER A WITH BREVE
U+0103	ă	c4 83	LATIN SMALL LETTER A WITH BREVE
U+0104	Ą	c4 84	LATIN CAPITAL LETTER A WITH OGONEK
U+0105	ą	c4 85	LATIN SMALL LETTER A WITH OGONEK
U+0106	Ć	c4 86	LATIN CAPITAL LETTER C WITH ACUTE ACCENT
U+0107	ć	c4 87	LATIN SMALL LETTER C WITH ACUTE ACCENT
U+0108	Ĉ	c4 88	LATIN CAPITAL LETTER C WITH CIRCUMFLEX ACCENT
U+0109	ĉ	c4 89	LATIN SMALL LETTER C WITH CIRCUMFLEX ACCENT
U+010A	Ċ	c4 8a	LATIN CAPITAL LETTER C WITH DOT ABOVE
U+010B	ċ	c4 8b	LATIN SMALL LETTER C WITH DOT ABOVE
U+010C	Č	c4 8c	LATIN CAPITAL LETTER C WITH CARON
U+010D	č	c4 8d	LATIN SMALL LETTER C WITH CARON
U+010E	Ď	c4 8e	LATIN CAPITAL LETTER D WITH CARON
U+010F	ď	c4 8f	LATIN SMALL LETTER D WITH CARON
U+0112	Ē	c4 92	LATIN CAPITAL LETTER E WITH MACRON
U+0113	ē	c4 93	LATIN SMALL LETTER E WITH MACRON
U+0114	Ĕ	c4 94	LATIN CAPITAL LETTER E WITH BREVE
U+0115	ĕ	c4 95	LATIN SMALL LETTER E WITH BREVE
U+0116	Ė	c4 96	LATIN CAPITAL LETTER E WITH DOT ABOVE
U+0117	ė	c4 97	LATIN SMALL LETTER E WITH DOT ABOVE
U+0118	Ę	c4 98	LATIN CAPITAL LETTER E WITH OGONEK
U+0119	ę	c4 99	LATIN SMALL LETTER E WITH OGONEK
U+011A	Ě	c4 9a	LATIN CAPITAL LETTER E WITH CARON
U+011B	ě	c4 9b	LATIN SMALL LETTER E WITH CARON
U+011C	Ĝ	c4 9c	LATIN CAPITAL LETTER G WITH CIRCUMFLEX ACCENT
U+011D	ĝ	c4 9d	LATIN SMALL LETTER G WITH CIRCUMFLEX ACCENT
U+011E	Ğ	c4 9e	LATIN CAPITAL LETTER G WITH BREVE
U+011F	ğ	c4 9f	LATIN SMALL LETTER G WITH BREVE
U+0120	Ġ	c4 a0	LATIN CAPITAL LETTER G WITH DOT ABOVE
U+0121	ġ	c4 a1	LATIN SMALL LETTER G WITH DOT ABOVE
U+0122	Ģ	c4 a2	LATIN CAPITAL LETTER G WITH CEDILLA
U+0123	ģ	c4 a3	LATIN SMALL LETTER G WITH CEDILLA
U+0124	Ĥ	c4 a4	LATIN CAPITAL LETTER H WITH CIRCUMFLEX ACCENT
U+0125	ĥ	c4 a5	LATIN SMALL LETTER H WITH CIRCUMFLEX ACCENT
U+0128	Ĩ	c4 a8	LATIN CAPITAL LETTER I WITH TILDE
U+0129	ĩ	c4 a9	LATIN SMALL LETTER I WITH TILDE
U+012A	Ī	c4 aa	LATIN CAPITAL LETTER I WITH MACRON
U+012B	ī	c4 ab	LATIN SMALL LETTER I WITH MACRON
U+012C	Ĭ	c4 ac	LATIN CAPITAL LETTER I WITH BREVE
U+012D	ĭ	c4 ad	LATIN SMALL LETTER I WITH BREVE
U+012E	Į	c4 ae	LATIN CAPITAL LETTER I WITH OGONEK
U+012F	į	c4 af	LATIN SMALL LETTER I WITH OGONEK
U+0130	İ	c4 b0	LATIN CAPITAL LETTER I WITH DOT ABOVE
U+0134	Ĵ	c4 b4	LATIN CAPITAL LETTER J WITH CIRCUMFLEX ACCENT
U+0135	ĵ	c4 b5	LATIN SMALL LETTER J WITH CIRCUMFLEX ACCENT
U+0136	Ķ	c4 b6	LATIN CAPITAL LETTER K WITH CEDILLA
U+0137	ķ	c4 b7	LATIN SMALL LETTER K WITH CEDILLA
U+0139	Ĺ	c4 b9	LATIN CAPITAL LETTER L WITH ACUTE ACCENT
U+013A	ĺ	c4 ba	LATIN SMALL LETTER L WITH ACUTE ACCENT
U+013B	Ļ	c4 bb	LATIN CAPITAL LETTER L WITH CEDILLA
U+013C	ļ	c4 bc	LATIN SMALL LETTER L WITH CEDILLA
U+013D	Ľ	c4 bd	LATIN CAPITAL LETTER L WITH CARON
U+013E	ľ	c4 be	LATIN SMALL LETTER L WITH CARON
U+0143	Ń	c5 83	LATIN CAPITAL LETTER N WITH ACUTE ACCENT
U+0144	ń	c5 84	LATIN SMALL LETTER N WITH ACUTE ACCENT
U+0145	Ņ	c5 85	LATIN CAPITAL LETTER N WITH CEDILLA
U+0146	ņ	c5 86	LATIN SMALL LETTER N WITH CEDILLA
U+0147	Ň	c5 87	LATIN CAPITAL LETTER N WITH CARON
U+0148	ň	c5 88	LATIN SMALL LETTER N WITH CARON
U+014C	Ō	c5 8c	LATIN CAPITAL LETTER O WITH MACRON
U+014D	ō	c5 8d	LATIN SMALL LETTER O WITH MACRON
U+014E	Ŏ	c5 8e	LATIN CAPITAL LETTER O WITH BREVE
U+014F	ŏ	c5 8f	LATIN SMALL LETTER O WITH BREVE
U+0150	Ő	c5 90	LATIN CAPITAL LETTER O WITH DOUBLE ACUTE ACCENT
U+0151	ő	c5 91	LATIN SMALL LETTER O WITH DOUBLE ACUTE ACCENT
U+0154	Ŕ	c5 94	LATIN CAPITAL LETTER R WITH ACUTE ACCENT
U+0155	ŕ	c5 95	LATIN SMALL LETTER R WITH ACUTE ACCENT
U+0156	Ŗ	c5 96	LATIN CAPITAL LETTER R WITH CEDILLA
U+0157	ŗ	c5 97	LATIN SMALL LETTER R WITH CEDILLA
U+0158	Ř	c5 98	LATIN CAPITAL LETTER R WITH CARON
