U+30E8	ヨ	e3 83 a8	KATAKANA LETTER YO
U+30E9	ラ	e3 83 a9	KATAKANA LETTER RA
U+30EA	リ	e3 83 aa	KATAKANA LETTER RI
U+30EB	ル	e3 83 ab	KATAKANA LETTER RU
U+30EC	レ	e3 83 ac	KATAKANA LETTER RE
U+30ED	ロ	e3 83 ad	KATAKANA LETTER RO
U+30EE	ヮ	e3 83 ae	KATAKANA LETTER SMALL WA
U+30FB	・	e3 83 bb	KATAKANA MIDDLE DOT
U+30FC	ー	e3 83 bc	KATAKANA-HIRAGANA PROLONGED SOUND MARK
U+30FF	ヿ	e3 83 bf	KATAKANA DIGRAPH KOTO
U+30F3	ン	e3 83 b3	KATAKANA LETTER N
U+30F5	ヵ	e3 83 b5	KATAKANA LETTER SMALL KA
U+30F6	ヶ	e3 83 b6	KATAKANA LETTER SMALL KE
U+30C3	ッ	e3 83 83	KATAKANA LETTER SMALL TU
